27.46,s,79.00,MB/s,714147.83,iops,average=,74.90,MB/s,677078.61,iops
28.49,s,74.67,MB/s,674943.22,iops,average=,74.89,MB/s,677002.01,iops
29.50,s,81.05,MB/s,732669.66,iops,average=,75.11,MB/s,678915.75,iops
30.52,s,31.92,MB/s,288529.89,iops,average=,73.67,MB/s,665925.43,iops
31.52,s,38.93,MB/s,351906.97,iops,average=,72.56,MB/s,655903.58,iops
32.53,s,79.46,MB/s,718233.87,iops,average=,72.77,MB/s,657833.75,iops
33.55,s,37.96,MB/s,343136.21,iops,average=,71.71,MB/s,648240.36,iops
34.56,s,36.80,MB/s,332646.87,iops,average=,70.69,MB/s,639013.23,iops
35.57,s,79.33,MB/s,717140.16,iops,average=,70.94,MB/s,641225.42,iops
36.58,s,39.54,MB/s,357401.06,iops,average=,70.06,MB/s,633348.83,iops
37.59,s,29.59,MB/s,267442.67,iops,average=,68.98,MB/s,623541.60,iops
38.60,s,48.95,MB/s,442500.70,iops,average=,68.46,MB/s,618824.23,iops
39.61,s,1.52,MB/s,13767.57,iops,average=,66.75,MB/s,603403.00,iops
40.61,s,31.24,MB/s,282384.46,iops,average=,65.88,MB/s,595494.46,iops
41.61,s,79.46,MB/s,718266.96,iops,average=,66.21,MB/s,598462.48,iops
42.63,s,10.45,MB/s,94492.72,iops,average=,64.88,MB/s,586461.06,iops
1.00,s,83.83,MB/s,757771.68,iops,average=,83.83,MB/s,757771.68,iops
2.02,s,80.85,MB/s,730809.47,iops,average=,82.33,MB/s,744183.50,iops
3.03,s,82.69,MB/s,747512.12,iops,average=,82.45,MB/s,745298.41,iops
4.05,s,81.12,MB/s,733243.31,iops,average=,82.11,MB/s,742272.35,iops
5.06,s,81.56,MB/s,737292.84,iops,average=,82.00,MB/s,741273.41,iops
6.08,s,77.71,MB/s,702493.16,iops,average=,81.29,MB/s,734792.47,iops
7.09,s,80.83,MB/s,730668.76,iops,average=,81.22,MB/s,734202.39,iops
8.11,s,82.46,MB/s,745430.49,iops,average=,81.38,MB/s,735607.56,iops
9.13,s,77.43,MB/s,699931.33,iops,average=,80.94,MB/s,731633.85,iops
10.14,s,79.06,MB/s,714674.48,iops,average=,80.75,MB/s,729935.93,iops
11.16,s,81.73,MB/s,738759.78,iops,average=,80.84,MB/s,730739.00,iops
12.17,s,78.18,MB/s,706735.37,iops,average=,80.62,MB/s,728735.68,iops
13.19,s,36.26,MB/s,327740.78,iops,average=,77.20,MB/s,697859.47,iops
14.20,s,81.21,MB/s,734070.69,iops,average=,77.49,MB/s,700432.44,iops
15.21,s,77.75,MB/s,702840.50,iops,average=,77.50,MB/s,700593.20,iops
16.23,s,68.02,MB/s,614867.74,iops,average=,76.91,MB/s,695230.53,iops
17.24,s,80.04,MB/s,723558.09,iops,average=,77.09,MB/s,696895.17,iops
18.26,s,52.18,MB/s,471668.96,iops,average=,75.71,MB/s,684369.36,iops
19.27,s,28.62,MB/s,258737.08,iops,average=,73.24,MB/s,662055.62,iops
20.27,s,80.52,MB/s,727856.28,iops,average=,73.60,MB/s,665327.00,iops
21.29,s,51.06,MB/s,461532.70,iops,average=,72.53,MB/s,655606.09,iops
22.30,s,28.82,MB/s,260547.20,iops,average=,70.55,MB/s,637716.12,iops
23.30,s,48.71,MB/s,440308.07,iops,average=,69.61,MB/s,629198.74,iops
24.31,s,1.52,MB/s,13751.76,iops,average=,66.78,MB/s,603651.79,iops
25.31,s,20.80,MB/s,188041.78,iops,average=,64.96,MB/s,587227.12,iops
26.32,s,80.77,MB/s,730085.41,iops,average=,65.57,MB/s,592677.09,iops
27.33,s,58.44,MB/s,528223.81,iops,average=,65.30,MB/s,590281.66,iops
28.35,s,20.41,MB/s,184465.85,iops,average=,63.70,MB/s,575794.23,iops
29.35,s,80.89,MB/s,731158.81,iops,average=,64.29,MB/s,581114.19,iops
30.37,s,79.43,MB/s,718016.31,iops,average=,64.79,MB/s,585692.41,iops
31.38,s,79.45,MB/s,718208.42,iops,average=,65.27,MB/s,589979.11,iops
